[ 1797.473979] nouveau 0000:09:00.0: devinit: 0x00009f82[ ]: 		R[0x11e864] = 0x01010000
[ 1797.473981] nouveau 0000:09:00.0: devinit: 0x00009f86[ ]: 		R[0x11e868] = 0x01011010
[ 1797.473983] nouveau 0000:09:00.0: devinit: 0x00009f8a[ ]: ZM_REG	R[0x11eb00] = 0x003c3c07
[ 1797.473985] nouveau 0000:09:00.0: devinit: 0x00009f93[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x0011ed98] 0x04 0x02
[ 1797.473987] nouveau 0000:09:00.0: devinit: 0x00009f9a[ ]: 	R[0x11ed98] = {
[ 1797.473989] nouveau 0000:09:00.0: devinit: 0x00009f9a[ ]: 		0x22222222
[ 1797.473990] nouveau 0000:09:00.0: devinit: 0x00009f9e[ ]: 		0x22222222
[ 1797.473992] nouveau 0000:09:00.0: devinit: 0x00009fa2[ ]: 		0x22222222
[ 1797.473994] nouveau 0000:09:00.0: devinit: 0x00009fa6[ ]: 		0x22222222
[ 1797.473995] nouveau 0000:09:00.0: devinit: 0x00009faa[ ]: 		0x22222222
[ 1797.473997] nouveau 0000:09:00.0: devinit: 0x00009fae[ ]: 		0x22222222
[ 1797.473999] nouveau 0000:09:00.0: devinit: 0x00009fb2[ ]: 		0x22222222 *
[ 1797.474000] nouveau 0000:09:00.0: devinit: 0x00009fb6[ ]: 		0x11111111
[ 1797.474002] nouveau 0000:09:00.0: devinit: 0x00009fba[ ]: 	}
[ 1797.474003] nouveau 0000:09:00.0: devinit: 0x00009fba[ ]: 	R[0x11ed9c] = {
[ 1797.474005] nouveau 0000:09:00.0: devinit: 0x00009fba[ ]: 		0x22222222
[ 1797.474007] nouveau 0000:09:00.0: devinit: 0x00009fbe[ ]: 		0x22222222
[ 1797.474008] nouveau 0000:09:00.0: devinit: 0x00009fc2[ ]: 		0x22222222
[ 1797.474010] nouveau 0000:09:00.0: devinit: 0x00009fc6[ ]: 		0x22222222
[ 1797.474012] nouveau 0000:09:00.0: devinit: 0x00009fca[ ]: 		0x22222222
[ 1797.474013] nouveau 0000:09:00.0: devinit: 0x00009fce[ ]: 		0x22222222
[ 1797.474015] nouveau 0000:09:00.0: devinit: 0x00009fd2[ ]: 		0x22222222 *
[ 1797.474017] nouveau 0000:09:00.0: devinit: 0x00009fd6[ ]: 		0x11111111
[ 1797.474018] nouveau 0000:09:00.0: devinit: 0x00009fda[ ]: 	}
[ 1797.474020] nouveau 0000:09:00.0: devinit: 0x00009fda[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x0011eda4] 0x04 0x02
[ 1797.474022] nouveau 0000:09:00.0: devinit: 0x00009fe1[ ]: 	R[0x11eda4] = {
[ 1797.474024] nouveau 0000:09:00.0: devinit: 0x00009fe1[ ]: 		0x22222222
[ 1797.474025] nouveau 0000:09:00.0: devinit: 0x00009fe5[ ]: 		0x22222222
[ 1797.474027] nouveau 0000:09:00.0: devinit: 0x00009fe9[ ]: 		0x22222222
[ 1797.474028] nouveau 0000:09:00.0: devinit: 0x00009fed[ ]: 		0x22222222
[ 1797.474030] nouveau 0000:09:00.0: devinit: 0x00009ff1[ ]: 		0x22222222
[ 1797.474032] nouveau 0000:09:00.0: devinit: 0x00009ff5[ ]: 		0x22222222
[ 1797.474033] nouveau 0000:09:00.0: devinit: 0x00009ff9[ ]: 		0x22222222 *
[ 1797.474035] nouveau 0000:09:00.0: devinit: 0x00009ffd[ ]: 		0x11111111
[ 1797.474037] nouveau 0000:09:00.0: devinit: 0x0000a001[ ]: 	}
[ 1797.474038] nouveau 0000:09:00.0: devinit: 0x0000a001[ ]: 	R[0x11eda8] = {
[ 1797.474040] nouveau 0000:09:00.0: devinit: 0x0000a001[ ]: 		0x22222222
[ 1797.474042] nouveau 0000:09:00.0: devinit: 0x0000a005[ ]: 		0x22222222
[ 1797.474043] nouveau 0000:09:00.0: devinit: 0x0000a009[ ]: 		0x22222222
[ 1797.474045] nouveau 0000:09:00.0: devinit: 0x0000a00d[ ]: 		0x22222222
[ 1797.474046] nouveau 0000:09:00.0: devinit: 0x0000a011[ ]: 		0x22222222
[ 1797.474048] nouveau 0000:09:00.0: devinit: 0x0000a015[ ]: 		0x22222222
[ 1797.474050] nouveau 0000:09:00.0: devinit: 0x0000a019[ ]: 		0x22222222 *
[ 1797.474051] nouveau 0000:09:00.0: devinit: 0x0000a01d[ ]: 		0x11111111
[ 1797.474053] nouveau 0000:09:00.0: devinit: 0x0000a021[ ]: 	}
[ 1797.474055] nouveau 0000:09:00.0: devinit: 0x0000a021[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x0011ed70] 0x04 0x04
[ 1797.474057] nouveau 0000:09:00.0: devinit: 0x0000a028[ ]: 	R[0x11ed70] = {
[ 1797.474058] nouveau 0000:09:00.0: devinit: 0x0000a028[ ]: 		0x00000000
[ 1797.474060] nouveau 0000:09:00.0: devinit: 0x0000a02c[ ]: 		0x00000000
[ 1797.474062] nouveau 0000:09:00.0: devinit: 0x0000a030[ ]: 		0x00000000
[ 1797.474063] nouveau 0000:09:00.0: devinit: 0x0000a034[ ]: 		0x00000000
[ 1797.474065] nouveau 0000:09:00.0: devinit: 0x0000a038[ ]: 		0x00000000
[ 1797.474067] nouveau 0000:09:00.0: devinit: 0x0000a03c[ ]: 		0x00000000
[ 1797.474068] nouveau 0000:09:00.0: devinit: 0x0000a040[ ]: 		0x00000000 *
[ 1797.474070] nouveau 0000:09:00.0: devinit: 0x0000a044[ ]: 		0x37373737
[ 1797.474072] nouveau 0000:09:00.0: devinit: 0x0000a048[ ]: 	}
[ 1797.474073] nouveau 0000:09:00.0: devinit: 0x0000a048[ ]: 	R[0x11ed74] = {
[ 1797.474075] nouveau 0000:09:00.0: devinit: 0x0000a048[ ]: 		0x00000000
[ 1797.474076] nouveau 0000:09:00.0: devinit: 0x0000a04c[ ]: 		0x00000000
[ 1797.474078] nouveau 0000:09:00.0: devinit: 0x0000a050[ ]: 		0x00000000
[ 1797.474080] nouveau 0000:09:00.0: devinit: 0x0000a054[ ]: 		0x00000000
[ 1797.474081] nouveau 0000:09:00.0: devinit: 0x0000a058[ ]: 		0x00000000
[ 1797.474083] nouveau 0000:09:00.0: devinit: 0x0000a05c[ ]: 		0x00000000
[ 1797.474085] nouveau 0000:09:00.0: devinit: 0x0000a060[ ]: 		0x00000000 *
[ 1797.474086] nouveau 0000:09:00.0: devinit: 0x0000a064[ ]: 		0x37373737
[ 1797.474088] nouveau 0000:09:00.0: devinit: 0x0000a068[ ]: 	}
[ 1797.474090] nouveau 0000:09:00.0: devinit: 0x0000a068[ ]: 	R[0x11ed78] = {
[ 1797.474091] nouveau 0000:09:00.0: devinit: 0x0000a068[ ]: 		0x00000000
[ 1797.474093] nouveau 0000:09:00.0: devinit: 0x0000a06c[ ]: 		0x00000000
[ 1797.474095] nouveau 0000:09:00.0: devinit: 0x0000a070[ ]: 		0x00000000
